Iteration,Value
0,124.696175
1,125.07173
2,125.20103
3,125.41779
4,125.63059
5,125.7784
6,125.940895
7,126.1111
8,126.241806
9,126.378624
10,126.49849
11,126.652504
12,126.82415
13,126.999916
14,127.198006
15,127.38415
16,127.46222
17,127.60366
18,127.76191
19,127.94074
20,128.04338
21,128.1839
22,128.29819
23,128.43317
24,128.57639
25,128.70023
26,128.83488
27,128.9702
28,129.12022
29,129.31229
30,129.48755
31,129.62325
32,129.77202
33,129.94145
34,130.08015
35,130.25616
36,130.41228
37,130.55208
38,130.71228
39,130.89825
40,131.04492
41,131.15086
42,131.32565
43,131.48337
44,131.6131
45,131.73116
46,131.88072
47,132.00586
48,132.14597
49,132.211
50,132.34946
51,132.474
52,132.56696
53,132.69385
54,132.80338
55,132.94649
56,133.06778
57,133.21898
58,133.3058
59,133.43556
60,133.57248
61,133.70879
62,133.82661
63,133.9298
64,134.06195
65,134.14919
66,134.25139
67,134.3776
68,134.46562
69,134.58275
70,134.71419
71,134.85187
72,134.93903
73,135.0548
74,135.17134
75,135.27597
76,135.35847
77,135.44905
78,135.50029
79,135.61943
80,135.73416
81,135.88416
82,135.98251
83,136.11032
84,136.23975
85,136.35486
86,136.45087
87,136.55151
88,136.64053
89,136.74225
90,136.82948
91,136.88795
92,136.97198
93,137.05588
94,137.13977
95,137.22986
96,137.31494
97,137.40271
98,137.49426
99,137.59293
100,137.69217
101,137.7747
102,137.86023
103,137.9444
104,138.06134
105,138.14642
106,138.23097
107,138.29665
108,138.38373
109,138.48648
110,138.59326
111,138.67755
112,138.7537
113,138.86531
114,138.93771
115,139.01703
116,139.12581
117,139.228
118,139.33316
119,139.41948
120,139.50117
121,139.59254
122,139.67963
123,139.75768
124,139.8489
125,139.9405
126,140.04373
127,140.11128
128,140.2208
129,140.31625
130,140.40985
131,140.52002
132,140.62637
133,140.71632
134,140.82782
135,140.89066
136,140.96725
137,141.05005
138,141.13475
139,141.23051
140,141.3255
141,141.40263
142,141.51485
143,141.60776
144,141.6853
145,141.76079
146,141.84721
147,141.92998
148,141.99837
149,142.04259
150,142.11896
151,142.18622
152,142.2708
153,142.34851
154,142.42726
155,142.5201
156,142.59694
157,142.64784
158,142.70964
159,142.81483
160,142.89267
161,142.9697
162,143.03648
163,143.14021
164,143.21059
165,143.28302
166,143.36552
167,143.42157
168,143.50433
169,143.56328
170,143.63524
171,143.71864
172,143.80566
173,143.87589
174,143.96721
175,144.02405
176,144.10779
177,144.18124
178,144.24954
179,144.3337
180,144.39761
181,144.46318
182,144.5328
183,144.57816
184,144.66084
185,144.73122
186,144.79977
187,144.88066
188,144.96498
189,145.02663
190,145.07841
191,145.13623
192,145.19139
193,145.26215
194,145.34421
195,145.40472
196,145.48877
197,145.55652
198,145.61497
199,145.69484
200,145.76097
201,145.81744
202,145.8864
203,145.96281
204,146.02573
205,146.0962
206,146.17017
207,146.23506
208,146.28133
209,146.35316
210,146.40979
211,146.4759
212,146.54193
213,146.60614
214,146.68362
215,146.73921
216,146.7938
217,146.8531
218,146.90886
219,146.96931
220,147.0347
221,147.09807
222,147.16275
223,147.20631
224,147.27379
225,147.32509
226,147.38031
227,147.44275
228,147.49834
229,147.56372
230,147.61687
231,147.68437
232,147.738
233,147.79419
234,147.83995
235,147.90924
236,147.9527
237,148.0086
238,148.06563
239,148.13188
240,148.17479
241,148.22421
242,148.29121
243,148.33942
244,148.39565
245,148.44745
246,148.51404
247,148.56355
248,148.60883
249,148.6611
250,148.6969
251,148.73691
252,148.79538
253,148.83638
254,148.87703
255,148.94395
256,148.99037
257,149.0482
258,149.09447
259,149.1515
260,149.18231
261,149.23354
262,149.28673
263,149.32233
264,149.37651
265,149.42851
266,149.45934
267,149.50706
268,149.5483
269,149.5971
270,149.64775
271,149.69316
272,149.73027
273,149.77242
274,149.83336
275,149.873
276,149.93182
277,149.98207
278,150.03163
279,150.07034
280,150.1147
281,150.1573
282,150.19664
283,150.24992
284,150.2953
285,150.33493
286,150.37367
287,150.42891
288,150.47054
289,150.51683
290,150.55441
291,150.58794
292,150.6365
293,150.69255
294,150.7291
295,150.77289
296,150.81152
297,150.85928
298,150.89615
299,150.94257
