Итерация,Значение
0,0.33034325
1,0.45669004
2,0.42015544
3,0.38300002
4,0.4389
5,0.4352328
6,0.4160231
7,0.44163334
8,0.43464893
9,0.43647698
10,0.38884345
11,0.42063335
12,0.41823334
13,0.38743332
14,0.46376666
15,0.42081317
16,0.4443
17,0.43699875
18,0.39673334
19,0.4400141
20,0.42666668
21,0.40059122
22,0.4432091
23,0.4397
24,0.45069298
25,0.4180324
26,0.43736666
27,0.41840002
28,0.40023333
29,0.3939336
30,0.43671182
31,0.41933334
32,0.41056666
33,0.44533333
34,0.46013334
35,0.43583563
36,0.44491363
37,0.39363334
38,0.3865429
39,0.39083332
40,0.3977
41,0.40786666
42,0.4206925
43,0.42643332
44,0.38191646
45,0.4371836
46,0.4183037
47,0.489148
48,0.41816667
49,0.42556667
50,0.3200481
51,0.46972373
52,0.3897
53,0.4215514
54,0.40133333
55,0.4493
56,0.43820944
57,0.4196
58,0.45163333
59,0.41131544
60,0.4318417
61,0.44133332
62,0.43266666
63,0.3869513
64,0.42152914
65,0.40949726
66,0.43963334
67,0.43473738
68,0.4282634
69,0.4434
70,0.3869
71,0.4056714
72,0.40808353
73,0.39836666
74,0.41853333
75,0.40886667
76,0.40417236
77,0.42746457
78,0.41514295
79,0.42122164
80,0.4571073
81,0.39236668
82,0.40287805
83,0.41306666
84,0.39453334
85,0.4357
86,0.43784827
87,0.42683333
88,0.4141141
89,0.40316668
90,0.3865
91,0.408029
92,0.38564804
93,0.4040143
94,0.40940002
95,0.43526667
96,0.40161198
97,0.38001373
98,0.40162417
99,0.41946667
100,0.30813333
101,0.41619998
102,0.41336668
103,0.4442
104,0.40446666
105,0.44127256
106,0.3941
107,0.41813928
108,0.38216665
109,0.4295
110,0.41539592
111,0.444194
112,0.41623494
113,0.39146668
114,0.42146668
115,0.39903334
116,0.41765332
117,0.4057482
118,0.42913333
119,0.41976666
120,0.41536668
121,0.4308618
122,0.4170557
123,0.4469613
124,0.41893333
125,0.3989187
126,0.39159694
127,0.4039621
128,0.4312132
129,0.43783367
130,0.35586667
131,0.43288773
132,0.41766667
133,0.412
134,0.4208837
135,0.43935278
136,0.4336
137,0.46643335
138,0.37540954
139,0.39720237
140,0.42703333
141,0.40498385
142,0.42786667
143,0.39726448
144,0.4063
145,0.4255
146,0.3981171
147,0.42503333
148,0.39853105
149,0.45996228
150,0.31944397
151,0.4453517
152,0.44376665
153,0.398614
154,0.40571225
155,0.39243332
156,0.37882635
157,0.42486668
158,0.39933333
159,0.40101883
160,0.43136665
161,0.36816666
162,0.46546668
163,0.42693335
164,0.4224
165,0.44736665
166,0.43713334
167,0.39213333
168,0.39126667
169,0.38226667
170,0.43123335
171,0.428
172,0.4558
173,0.40950644
174,0.41233334
175,0.40713334
176,0.40796667
177,0.39623332
178,0.40736666
179,0.44551423
180,0.4314438
181,0.41776666
182,0.42143333
183,0.43436667
184,0.4075
185,0.42743334
186,0.40609133
187,0.4079
188,0.45745417
189,0.4163052
190,0.42043483
191,0.40808755
192,0.41113335
193,0.4161
194,0.4335743
195,0.42750132
196,0.4378
197,0.4224394
198,0.43576273
199,0.4170333
200,0.3132
201,0.4056
202,0.38235417
203,0.4400451
204,0.4274036
205,0.4365924
206,0.41656667
207,0.40653333
208,0.4324667
209,0.42716667
210,0.39993334
211,0.4282
212,0.42083332
213,0.41912314
214,0.421899
215,0.39641532
216,0.40533334
217,0.43016666
218,0.3790556
219,0.39346668
220,0.44526666
221,0.38773182
