Parameter,Attempts,Successes,Failures,BlockingPercent
0,16943,16943,0,0.00
1,17957,17957,0,0.00
10,5851,5384,467,7.98
11,5633,5168,465,8.25
12,6087,5651,436,7.16
13,7144,6510,634,8.87
14,7984,7162,822,10.30
15,7480,6818,662,8.85
16,8719,7930,789,9.05
17,9579,8778,801,8.36
18,13429,12410,1019,7.59
19,20305,18648,1657,8.16
2,8923,8923,0,0.00
20,21543,19590,1953,9.07
21,14537,13223,1314,9.04
22,11374,10305,1069,9.40
23,9738,8821,917,9.42
24,9107,8254,853,9.37
25,9085,8229,856,9.42
26,9025,8142,883,9.78
27,8562,7728,834,9.74
28,8763,7933,830,9.47
29,8642,7808,834,9.65
3,6850,6850,0,0.00
30,8460,7584,876,10.35
31,8588,7678,910,10.60
32,8612,7714,898,10.43
33,8720,7802,918,10.53
34,8258,7409,849,10.28
35,8136,7345,791,9.72
36,8228,7334,894,10.87
37,8066,7221,845,10.48
38,8139,7229,910,11.18
39,8229,7319,910,11.06
4,6249,6249,0,0.00
40,7816,6944,872,11.16
41,7687,6835,852,11.08
42,7141,6338,803,11.24
43,6807,6058,749,11.00
44,6576,5785,791,12.03
45,6251,5511,740,11.84
46,6160,5406,754,12.24
47,6186,5437,749,12.11
48,6034,5222,812,13.46
49,5949,5141,808,13.58
5,5929,5929,0,0.00
50,5736,4973,763,13.30
51,5610,4908,702,12.51
52,5298,4571,727,13.72
53,5135,4423,712,13.87
54,4683,4027,656,14.01
55,4634,3964,670,14.46
56,4457,3733,724,16.24
57,4479,3771,708,15.81
58,4409,3744,665,15.08
59,4254,3603,651,15.30
6,5699,5699,0,0.00
60,4074,3383,691,16.96
61,3743,3166,577,15.42
62,3617,3015,602,16.64
63,3632,3002,630,17.35
64,3276,2697,579,17.67
65,3143,2594,549,17.47
66,3089,2503,586,18.97
67,3113,2540,573,18.41
68,2852,2264,588,20.62
69,2799,2217,582,20.79
7,5326,5326,0,0.00
70,2864,2303,561,19.59
71,2931,2296,635,21.66
72,2737,2107,630,23.02
73,2487,1931,556,22.36
74,2219,1707,512,23.07
75,2066,1573,493,23.86
76,2069,1624,445,21.51
77,2022,1526,496,24.53
78,1859,1376,483,25.98
79,1786,1333,453,25.36
8,4912,4512,400,8.14
80,1711,1275,436,25.48
81,1739,1304,435,25.01
82,1571,1132,439,27.94
83,1561,1145,416,26.65
84,1458,1087,371,25.45
9,5469,5028,441,8.06
