Итерация,Значение
0,0.9
1,0.89972997
2,0.8994601
3,0.89919025
4,0.8989205
5,0.8986508
6,0.89838123
7,0.8981117
8,0.8978423
9,0.89757293
10,0.8973037
11,0.8970345
12,0.8967654
13,0.8964964
14,0.8962275
15,0.8959586
16,0.89568985
17,0.89542115
18,0.8951525
19,0.894884
20,0.89461553
21,0.89434713
22,0.89407885
23,0.89381063
24,0.89354247
25,0.8932744
26,0.89300644
27,0.8927385
28,0.8924707
29,0.892203
30,0.89193535
31,0.8916678
32,0.8914003
33,0.8911329
34,0.89086556
35,0.8905983
36,0.89033115
37,0.89006406
38,0.88979703
39,0.8895301
40,0.8892633
41,0.8889965
42,0.8887298
43,0.8884632
44,0.88819665
45,0.8879302
46,0.88766384
47,0.8873975
48,0.88713133
49,0.8868652
50,0.8865991
51,0.88633317
52,0.8860673
53,0.88580143
54,0.8855357
55,0.88527006
56,0.88500446
57,0.884739
58,0.88447356
59,0.8842082
60,0.88394296
61,0.8836778
62,0.88341266
63,0.88314766
64,0.8828827
65,0.88261783
66,0.88235307
67,0.88208836
68,0.8818237
69,0.8815592
70,0.8812947
71,0.8810303
72,0.88076603
73,0.8805018
74,0.88023764
75,0.8799736
76,0.8797096
77,0.8794457
78,0.87918186
79,0.8789181
80,0.8786544
81,0.87839085
82,0.87812734
83,0.8778639
84,0.87760055
85,0.8773373
86,0.87707406
87,0.87681097
88,0.87654793
89,0.87628496
90,0.8760221
91,0.8757593
92,0.87549657
93,0.87523395
94,0.8749714
95,0.8747089
96,0.8744465
97,0.8741842
98,0.87392193
99,0.8736598
100,0.8733977
101,0.8731357
102,0.8728738
103,0.87261194
104,0.87235016
105,0.87208843
106,0.8718268
107,0.8715653
108,0.8713038
109,0.87104243
110,0.8707811
111,0.8705199
112,0.87025875
113,0.8699977
114,0.8697367
115,0.8694758
116,0.86921495
117,0.8689542
118,0.86869353
119,0.86843294
120,0.8681724
121,0.86791193
122,0.8676516
123,0.8673913
124,0.86713105
125,0.86687094
126,0.8666109
127,0.8663509
128,0.866091
129,0.8658312
130,0.86557144
131,0.8653118
132,0.8650522
133,0.8647927
134,0.86453325
135,0.8642739
136,0.8640146
137,0.8637554
138,0.8634963
139,0.86323726
140,0.8629783
141,0.8627194
142,0.8624606
143,0.86220187
144,0.86194324
145,0.8616847
146,0.8614262
147,0.8611677
148,0.8609094
149,0.86065114
150,0.8603929
151,0.86013484
152,0.8598768
153,0.85961884
154,0.859361
155,0.8591032
156,0.8588455
157,0.8585878
158,0.85833025
159,0.85807276
160,0.8578153
161,0.857558
162,0.85730076
163,0.85704356
164,0.85678643
165,0.8565294
166,0.85627246
167,0.85601556
168,0.8557588
169,0.85550207
170,0.8552454
171,0.8549889
172,0.8547324
173,0.854476
174,0.8542196
175,0.8539634
176,0.8537072
177,0.8534511
178,0.8531951
179,0.8529391
180,0.85268325
181,0.8524274
182,0.8521717
183,0.8519161
184,0.8516605
185,0.851405
186,0.8511496
187,0.8508943
188,0.850639
189,0.8503838
190,0.8501287
191,0.84987366
192,0.84961873
193,0.84936386
194,0.84910905
195,0.8488543
196,0.8485997
197,0.8483451
198,0.8480906
199,0.8478362
200,0.84758186
201,0.8473276
202,0.8470734
203,0.8468193
204,0.84656525
205,0.8463113
206,0.8460574
207,0.8458036
208,0.8455499
209,0.8452962
210,0.84504265
211,0.84478915
212,0.8445357
213,0.8442823
214,0.84402907
215,0.84377587
216,0.8435227
217,0.8432697
218,0.84301674
219,0.84276384
220,0.842511
221,0.8422583
222,0.8420056
223,0.841753
224,0.84150046
225,0.84124804
226,0.84099567
227,0.84074336
228,0.8404912
229,0.84023905
230,0.839987
231,0.839735
232,0.8394831
233,0.83923125
234,0.8389795
235,0.8387278
236,0.8384762
237,0.83822465
238,0.8379732
239,0.83772177
240,0.8374705
241,0.83721924
242,0.83696806
243,0.836717
244,0.836466
245,0.8362151
246,0.8359642
247,0.83571345
248,0.83546275
249,0.8352121
250,0.83496153
251,0.8347111
252,0.8344607
253,0.83421034
254,0.83396006
255,0.8337099
256,0.8334598
257,0.83320975
258,0.8329598
259,0.8327099
260,0.8324601
261,0.83221036
262,0.8319607
263,0.8317111
264,0.8314616
265,0.83121216
266,0.83096284
267,0.83071357
268,0.83046436
269,0.8302152
270,0.8299662
271,0.8297172
272,0.8294683
273,0.82921946
274,0.82897073
275,0.82872206
276,0.82847345
277,0.8282249
278,0.82797647
279,0.8277281
280,0.8274798
281,0.8272315
282,0.8269834
283,0.8267353
284,0.8264873
285,0.82623935
286,0.8259915
287,0.82574373
288,0.825496
289,0.82524836
290,0.8250008
291,0.82475334
292,0.8245059
293,0.82425857
294,0.8240113
295,0.82376415
296,0.823517
297,0.82326996
298,0.82302296
299,0.8227761
300,0.82252926
301,0.8222825
302,0.8220358
303,0.8217892
304,0.8215427
305,0.8212962
306,0.8210498
307,0.8208035
308,0.8205573
309,0.8203111
310,0.820065
311,0.81981903
312,0.8195731
313,0.81932724
314,0.8190814
315,0.81883574
316,0.8185901
317,0.81834453
318,0.818099
319,0.8178536
320,0.8176083
321,0.817363
322,0.8171178
