Iteration,Value
0,4463.6826
1,6266.214
2,5226.314
3,4233.8174
4,5295.1846
5,5642.463
6,4637.313
7,4429.2134
8,4894.378
9,6053.3496
10,5283.074
11,5149.2363
12,4137.9824
13,3894.3665
14,5659.7144
15,4590.662
16,4752.647
17,4436.692
18,4602.4053
19,5888.247
20,5583.488
21,5528.22
22,5484.3486
23,7042.5396
24,5664.7637
25,4710.1997
26,5552.088
27,4814.452
28,5825.8945
29,4840.892
30,5831.9956
31,4634.899
32,5072.245
33,6059.58
34,4075.1418
35,5617.571
36,4965.69
37,6160.1074
38,5210.57
39,5140.6777
40,4861.6357
41,5375.4595
42,5449.8174
43,5073.3906
44,5404.5317
45,6266.544
46,6042.9683
47,5102.0737
48,4604.001
49,5350.992
50,5665.842
51,5093.911
52,6608.5327
53,4700.2275
54,5723.7607
55,5647.028
56,6825.044
57,5756.4546
58,5562.466
59,5044.8555
60,5399.7847
61,5533.5435
62,4848.2305
63,6137.649
64,5181.4585
65,6957.9463
66,6041.407
67,5066.6045
68,6336.0923
69,5283.575
70,6426.099
71,5320.635
72,7368.462
73,6502.2114
74,5694.0283
75,7147.546
76,6497.4893
77,5346.3013
78,5894.0767
79,5340.9277
80,6806.5273
81,7383.2124
82,6161.3877
83,6168.04
84,6245.8
85,5782.621
86,5969.622
87,6118.862
88,6612.011
89,7052.104
90,6636.055
91,7636.597
92,5774.3716
93,6422.8906
94,5014.085
95,5957.276
96,6417.858
97,5850.8257
98,6433.6177
99,6595.2393
100,5471.5874
101,5985.367
102,7212.2236
103,7878.27
104,6744.764
105,6901.821
106,5935.2485
107,4471.248
108,5104.714
109,5412.1104
110,7402.103
111,5691.4473
112,5397.298
113,7620.266
114,6685.289
115,6734.838
116,5788.326
117,7421.661
118,6221.7104
119,6471.344
120,6778.0103
121,7582.2266
122,7553.5117
123,7231.219
124,7113.093
125,6127.0273
126,8111.241
127,7763.671
128,6758.6455
129,7778.9985
130,6140.995
131,7431.5684
132,5241.1997
133,9183.761
134,6441.6387
135,7396.245
136,6904.6235
137,7429.8726
138,6428.231
139,6618.856
140,6327.5757
141,7962.1646
142,7136.6787
143,6479.1143
144,6661.0024
145,6426.3823
146,7581.1533
147,7807.8296
148,8121.798
149,6507.294
150,6043.8687
151,7858.916
152,7404.649
153,6395.6367
154,7125.465
155,7048.3335
156,6016.9756
157,7110.52
158,8820.122
