State:Action,QValue
-0,0:up,-0.4103631
-0,1:down,1.9096866
-0,1:left,4.2146826
-0,1:right,2.4097962
-0,1:up,1.075284
-0,10:right,8.367414
-0,10:up,0.48251083
-0,11:right,6.410578
-0,11:up,-0.03846129
-0,12:left,2.5604792
-0,12:up,-0.026873417
-0,13:right,4.656727
-0,13:up,4.817683
-0,14:down,1.0455093
-0,14:left,3.8126237
-0,14:right,9.041965
-0,14:up,-0.13006835
-0,15:down,1.9455912
-0,16:up,3.5713549
-0,17:right,9.947527
-0,18:down,1.181701
-0,18:right,11.281195
-0,18:up,-0.4376085
-0,19:down,2.384128
-0,2:down,-0.15055501
-0,2:left,1.9060127
-0,2:right,6.335074
-0,2:up,-0.087923735
-0,20:down,0.50856084
-0,20:up,1.5263778
-0,21:down,-0.4419618
-0,21:left,1.8712097
-0,21:right,9.163689
-0,21:up,2.3140943
-0,22:down,-0.122190006
-0,22:left,9.676132
-0,22:right,10.006776
-0,22:up,-0.036833316
-0,23:down,-0.09480214
-0,23:left,10.731796
-0,23:up,-0.32885998
-0,24:down,-0.190935
-0,24:left,0.18709438
-0,24:right,9.210678
-0,24:up,-0.11790623
-0,25:down,0.7062194
-0,25:left,9.749356
-0,26:left,11.8368225
-0,26:right,6.820551
-0,26:up,1.3280753
-0,27:down,2.3271916
-0,27:left,8.341905
-0,27:up,-0.08391197
-0,3:down,1.631344
-0,3:left,2.507428
-0,3:right,6.2326207
-0,3:up,-0.13192731
-0,30:left,17.647762
-0,30:right,18.805923
-0,31:down,4.886752
-0,31:left,8.601792
-0,31:right,15.472834
-0,31:up,0.40473652
-0,32:down,5.8162665
-0,32:up,0.7836221
-0,33:right,21.738739
-0,34:up,0.02508606
-0,35:down,-0.10739948
-0,35:left,-0.596383
-0,35:right,-0.11107348
-0,35:up,-0.06758922
-0,36:down,-0.10977992
-0,36:left,4.71739
-0,36:right,9.595333
-0,36:up,1.4425855
-0,37:down,1.1515309
-0,37:left,10.744477
-0,37:up,5.8443155
-0,38:right,20.33306
-0,38:up,3.5867379
-0,39:left,-1.0681834
-0,39:right,27.66548
-0,39:up,-0.11888683
-0,4:down,-0.19392
-0,4:left,0.92613614
-0,4:right,2.2922242
-0,4:up,1.2157763
-0,40:left,0.12492401
-0,40:right,-0.24661762
-0,42:left,13.323013
-0,42:right,44.114098
-0,42:up,4.3231263
-0,43:down,20.013279
-0,43:left,14.753447
-0,43:right,15.257237
