Итерация,Значение
0,103.88975
1,103.96969
2,104.04409
3,104.13111
4,104.2439
5,104.33324
6,104.4234
7,104.52205
8,104.59697
9,104.680046
10,104.77927
11,104.85616
12,104.93683
13,105.02761
14,105.098816
15,105.16665
16,105.24981
17,105.35607
18,105.44408
19,105.51805
20,105.59859
21,105.661934
22,105.72192
23,105.776184
24,105.875946
25,105.93941
26,105.97249
27,106.0792
28,106.11344
29,106.174126
30,106.25888
31,106.33753
32,106.43242
33,106.483444
34,106.56213
35,106.63308
36,106.67887
37,106.74131
38,106.7795
39,106.84606
40,106.919846
41,106.95804
42,107.03751
43,107.10337
44,107.16672
45,107.19455
46,107.2533
47,107.29316
48,107.332695
49,107.40146
50,107.43719
51,107.46068
52,107.5035
53,107.549385
54,107.5846
55,107.63493
56,107.681274
57,107.73077
58,107.76131
59,107.82167
60,107.86911
61,107.90385
62,107.92712
63,107.96118
64,108.01779
65,108.072235
66,108.10517
67,108.120094
68,108.16454
69,108.20284
70,108.23893
71,108.26758
72,108.29987
73,108.341515
74,108.34934
75,108.37679
76,108.4311
77,108.45277
78,108.475395
79,108.4961
80,108.5279
81,108.56529
82,108.60742
83,108.64116
84,108.67247
85,108.72444
86,108.75577
87,108.782745
88,108.815704
89,108.83933
90,108.870926
91,108.920494
92,108.98561
93,109.04972
94,109.07421
95,109.10409
96,109.113754
97,109.14985
98,109.18179
99,109.201965
100,109.22259
101,109.26436
102,109.30327
103,109.31611
104,109.35289
105,109.383064
106,109.410835
107,109.44945
108,109.483894
109,109.5034
110,109.53218
111,109.559166
112,109.58662
113,109.62948
114,109.66507
115,109.68576
116,109.72026
117,109.7539
118,109.76729
119,109.78407
120,109.80649
121,109.830246
122,109.84185
123,109.86996
124,109.90876
125,109.95047
126,109.96988
127,110.002365
128,110.02033
129,110.03264
130,110.0759
131,110.07686
132,110.0968
133,110.122925
134,110.13108
135,110.14908
136,110.176346
137,110.20812
138,110.228355
139,110.224625
140,110.24827
141,110.25444
142,110.2829
143,110.294426
144,110.325874
145,110.3581
146,110.37501
147,110.39125
148,110.38295
149,110.40811
150,110.43707
151,110.434746
152,110.448265
153,110.48277
154,110.499725
155,110.526436
156,110.54806
157,110.54963
158,110.54859
159,110.57131
160,110.57289
161,110.571686
162,110.58945
163,110.60005
164,110.61531
165,110.61093
166,110.6101
167,110.61744
168,110.62
169,110.62667
170,110.62147
171,110.617935
172,110.630295
173,110.63149
174,110.63505
175,110.64662
176,110.65556
177,110.645584
178,110.66325
179,110.67944
180,110.69025
181,110.70267
182,110.71752
183,110.716415
184,110.72996
185,110.7327
186,110.7443
187,110.75458
188,110.76962
189,110.78685
190,110.79624
191,110.80439
192,110.81503
193,110.82477
194,110.83142
195,110.84545
196,110.85552
197,110.8416
198,110.85621
199,110.857994
200,110.88313
201,110.88567
202,110.87484
203,110.881775
204,110.89667
205,110.90282
206,110.92007
207,110.92634
208,110.934494
209,110.94327
210,110.94145
211,110.95233
212,110.952736
213,110.98485
214,110.97485
215,110.98669
216,110.99503
217,110.994446
218,111.0058
219,111.02712
220,111.03108
221,111.04614
222,111.06211
223,111.087715
224,111.09319
225,111.085266
226,111.09228
227,111.098175
228,111.11455
229,111.11577
230,111.115
231,111.127815
232,111.144646
233,111.14269
234,111.14948
235,111.15588
236,111.16492
237,111.16131
238,111.16473
239,111.172714
240,111.15497
241,111.161995
242,111.162
243,111.174545
244,111.15584
245,111.14499
246,111.14185
247,111.155266
248,111.14647
249,111.15667
250,111.180084
251,111.19164
252,111.18452
253,111.19827
254,111.20043
255,111.217766
256,111.21088
257,111.207375
258,111.19824
259,111.20657
260,111.18822
261,111.19733
262,111.176285
263,111.16941
264,111.178406
265,111.171394
266,111.164925
267,111.16024
268,111.16574
269,111.1643
270,111.16411
271,111.159096
272,111.154305
273,111.14224
274,111.144966
275,111.14121
276,111.13483
277,111.13504
278,111.13658
279,111.141
280,111.13851
281,111.127205
282,111.141014
283,111.14817
284,111.145905
285,111.142235
286,111.12721
287,111.12625
288,111.117355
289,111.11711
290,111.09926
291,111.10322
292,111.09576
293,111.09399
294,111.08469
295,111.07773
296,111.07321
297,111.06155
298,111.06639
299,111.06315
300,111.06641
301,111.074715
302,111.07131
303,111.06348
304,111.056274
305,111.053345
306,111.062
307,111.047165
308,111.03745
309,111.01993
310,111.00192
311,110.98799
312,110.977905
313,110.96121
314,110.94859
315,110.94317
316,110.942856
317,110.95093
318,110.940636
319,110.9277
320,110.93686
321,110.93478
322,110.93622
323,110.92608
324,110.93152
325,110.932396
326,110.92921
327,110.92868
328,110.92193
329,110.908356
330,110.91467
331,110.92321
332,110.90718
333,110.90535
334,110.90814
335,110.89898
336,110.88421
337,110.87858
338,110.86795
339,110.854546
340,110.847496
341,110.83792
342,110.827
343,110.81973
344,110.81888
345,110.80934
346,110.77893
347,110.7612
348,110.75426
349,110.74559
350,110.750626
351,110.74245
352,110.73505
353,110.716774
354,110.70605
355,110.70116
356,110.705894
357,110.6953
358,110.6859
359,110.67974
360,110.66897
361,110.64649
362,110.626785
363,110.59903
364,110.601875
365,110.59656
366,110.59542
367,110.58806
368,110.561066
369,110.547615
370,110.54611
371,110.55413
372,110.55648
373,110.54093
374,110.533485
375,110.521996
376,110.507965
377,110.49533
378,110.48282
379,110.47123
380,110.46615
381,110.463356
382,110.46157
383,110.43653
384,110.42654
385,110.42141
386,110.416115
387,110.40998
388,110.38651
389,110.384476
390,110.37617
391,110.371574
392,110.35733
393,110.350105
394,110.3468
395,110.335175
396,110.31438
397,110.299614
398,110.28291
399,110.262054
400,110.24803
401,110.236855
402,110.22306
403,110.20862
404,110.19052
405,110.18103
406,110.17066
407,110.159096
408,110.14499
409,110.125336
410,110.120865
411,110.108284
412,110.1038
413,110.091995
414,110.09041
415,110.08859
416,110.09239
417,110.07174
418,110.06883
419,110.04475
420,110.03231
421,110.013336
422,110.00936
423,109.99999
424,109.97571
425,109.968155
426,109.95422
427,109.95112
428,109.93533
429,109.91211
430,109.91401
431,109.91282
432,109.9047
433,109.90164
434,109.88578
435,109.88429
436,109.873405
437,109.860405
438,109.83879
