Итерация,Значение
0,2905.32
1,2608.8992
2,2878.2903
3,2445.5032
4,1364.3815
5,2722.5537
6,3578.2854
7,1543.1034
8,4045.4976
9,1364.0885
10,3948.1746
11,1929.2324
12,2610.7605
13,3179.3442
14,2100.2402
15,3033.3018
16,2280.5586
17,2489.0583
18,3364.7607
19,2860.421
20,2727.9456
21,2481.3882
22,2392.3025
23,2069.2168
24,2007.5376
25,2035.9692
26,2131.1118
27,2359.597
28,3929.9773
29,2721.2432
30,1931.4435
31,3224.2627
32,3262.6655
33,1881.1926
34,1774.5592
35,1680.6732
36,2064.1025
37,2725.0752
38,3611.457
39,2209.986
40,2072.674
41,2322.2302
42,3084.4043
43,2931.4172
44,3074.4495
45,2150.6375
46,2662.0603
47,2375.6594
48,2911.2856
49,2795.5854
50,2558.4624
51,2379.983
52,1597.3774
53,1716.9946
54,3031.711
55,1703.8713
56,2125
57,2215.3428
58,1375.0803
59,2715.3289
60,1920.4532
61,1113.6516
62,1391.9733
63,2051.3994
64,2137.504
65,2631.2866
66,1338.5112
67,2538.6377
68,1525.7588
69,1980.8156
70,2604.3118
71,2780.0356
72,2095.5894
73,2151.5405
74,2062.4504
75,2745.1406
76,2136.219
77,2122.6108
78,1414.0718
79,2755.2312
80,1765.4647
81,2990.8008
82,2093.089
83,2479.898
84,2222.5383
85,2386.5889
86,725.50446
87,1986.2697
88,2558.4692
89,3025.6394
90,3549.9382
91,2065.874
92,2262.638
93,4175.0264
94,3212.1492
95,2748.054
96,1694.8875
97,2807.769
98,2235.1536
99,2539.3003
100,2824.8184
101,3172.9084
102,1798.6881
103,3004.876
104,2634.08
105,1409.1825
106,2296.2903
107,3549.348
108,1664.7981
109,2798.5547
110,2026.4434
111,1558.6345
112,3132.4976
113,2170.3257
114,2271.6853
115,2955.5469
116,2885.0498
117,2817.4673
118,2565.0977
119,2281.4233
120,1438.9579
121,1460.3672
122,1713.0271
123,2202.123
124,2532.0964
125,2203.7004
126,3302.0215
127,3078.8975
128,2672.5457
129,2484.615
130,3267.1968
131,2011.501
132,1747.4807
133,2110.5486
134,2323.4067
135,1797.6204
136,3573.6855
137,2517.4556
138,2118.8096
139,2923.2495
140,1914.811
141,2578.5776
142,1731.6656
143,1773.4191
144,2214.7812
145,1128.4747
146,3045.9165
147,1815.386
148,2390.9001
149,2202.1714
150,2466.173
151,1798.956
152,1844.4116
153,1431.5801
154,2021.183
155,3976.5452
156,3058.701
157,3075.7224
158,3106.8218
159,3523.0913
160,2157.8445
161,4782.496
162,1855.729
163,1456.0532
164,1901.0469
165,1562.6029
166,2681.2747
167,1833.423
168,3243.3533
169,2518.3801
170,2515.982
171,1680.6467
172,1998.9111
173,1439.2854
174,3043.8757
175,4194.5464
176,1826.9614
177,2697.4724
178,2498.1348
179,3148.6755
180,2071.135
181,2064.965
182,2880.869
183,2539.5908
184,2794.0007
185,4161.328
186,1956.9257
187,2233.6729
188,2046.4738
189,2796.6548
190,2216.9292
191,1754.8912
192,3425.4336
193,2422.5366
194,2080.4453
195,2495.4136
196,2544.3792
197,2783.3752
198,1418.6793
199,2252.2979
200,4034.7227
201,3392.21
202,2929.8896
203,3225.4465
204,2677.528
205,2831.6135
206,1864.8345
207,2725.4893
208,2139.2524
209,4088.2104
210,2700.2097
211,3868.7021
212,1577.5653
213,2162.5342
214,2466.0059
215,2646.428
216,3565.762
217,3445.6245
218,4420.998
219,2539.504
220,3423.543
221,3207.2686
222,2310.159
223,2956.4814
224,2429.599
225,2962.4705
226,3275.2253
227,3182.6152
228,1216.8082
229,2046.7032
230,2767.5225
231,3748.9868
232,2672.4824
233,3982.671
234,2638.6492
235,2538.6748
236,1557.4861
237,2368.3027
238,2232.366
239,3355.2817
240,3344.975
241,1910.5867
242,3714.1902
243,3585.604
244,3938.7869
245,2450.8416
246,4125.0874
247,3035.199
248,4045.2732
249,3808.1348
250,5090.0825
251,3141.1733
252,3199.068
253,2656.9624
254,2990.2192
255,3945.2646
256,3136.3782
257,2337.4785
258,3121.151
259,2484.417
260,3362.936
261,3418.5571
262,3978.834
263,3847.3547
264,1683.4614
265,2686.1973
266,1561.5504
267,3767.3943
268,3356.272
269,3460.7031
270,2320.939
271,2885.8337
272,3309.0193
273,2519.6838
274,2251.0608
275,1737.2229
276,3114.0232
277,1805.1145
278,3170.2815
279,3297.1147
280,2774.944
281,3156.67
282,3520.0881
283,2474.0833
284,1588.1729
285,3634.6895
286,2576.2725
287,3422.254
288,4580.4414
289,4173.7095
290,3272.9082
291,1596.4673
292,3327.593
293,4628.442
294,4400.7
295,3303.0642
296,2732.819
297,2843.6309
298,3821.6335
299,2333.2727
300,3111.9773
301,3948.012
302,3180.6895
303,3401.3616
304,2477.6138
305,2104.0845
306,4688.973
307,3596.551
308,5138.6587
309,3370.7578
310,2787.02
311,3881.8223
312,3407.98
313,4212.84
314,4596.588
315,3557.4639
316,4646.1836
317,2405.197
318,1976.383
319,4715.3306
320,2968.1592
321,2189.8608
322,3071.1252
323,2262.964
324,3665.774
325,4804.261
326,3635.0454
327,2719.644
328,2513.5835
329,3982.7112
330,3311.443
331,2619.4373
332,3450.5203
333,2813.6924
334,3458.52
335,3400.2168
336,2318.8506
337,5781.7007
338,4216.299
339,2418.6777
340,2536.9592
341,2137.2632
342,4281.6777
343,2564.8906
344,3421.8623
345,2861.1138
346,1450.6538
347,3461.6167
348,4572.5874
349,2832.2354
350,5398.4355
351,4051.2937
352,4325.595
353,2326.7964
354,2772.732
355,3285.6047
356,4769.9346
357,3348.2063
358,3925.4558
359,3431.6501
360,3576.586
361,3215.3396
362,2288.6355
363,3421.1582
364,3795.6814
365,4609.6045
366,3443.898
367,3480.355
368,3471.311
369,3441.6357
370,4365.4727
371,5738.8457
372,3272.166
373,3703.204
374,3722.6895
375,3462.3174
376,3914.4177
377,3584.3125
378,5036.7407
379,3782.1848
380,4934.1143
381,3408.2454
382,3486.3794
383,3347.481
384,5422.189
385,3605.1768
386,2604.8477
387,2788.6794
388,3796.506
389,4230.242
390,4330.973
391,2764.0576
392,4854.992
393,3134.373
394,3167.96
395,2675.4595
396,3196.603
397,3060.6338
398,4358.515
399,3362.2314
400,3288.374
401,2338.9224
402,2980.587
403,4797.9663
404,1987.9989
405,3215.1714
406,6463.938
407,6050.4854
408,4217.6177
409,3312.9922
410,3816.24
411,3520.006
412,3155.676
413,4319.819
414,3225.8306
415,3564.9238
416,3244.3687
417,2960.117
418,4954.7207
419,3438.9126
420,5973.0654
421,3617.6406
422,3747.3228
423,3577.9243
424,2840.2139
425,2630.4282
426,4952.5283
427,3657.4165
428,5041.7817
429,3255.612
430,3139.6084
431,5003.461
432,3110.32
433,2907.174
434,4793.234
435,4676.211
436,5286.6963
437,5233.582
438,3842.6348
439,6497.2256
440,3879.9863
441,5399.0093
442,3372.8347
443,4395.8228
444,3679.489
445,3354.115
446,3923.25
447,3385.0818
448,4034.366
449,6870.8384
450,3763.5835
451,3032.9658
452,4575.9253
453,3444.375
454,4168.1377
455,3352.4255
456,5949.282
457,3019.9153
458,3728.5266
459,4945.7573
460,3713.6782
461,4300.4487
462,3263.8796
463,3873.424
464,4075.3374
465,5216.1743
466,3985.5867
467,4041.96
468,4644.136
469,5260.3716
470,6404.422
471,4391.704
472,2546.3928
473,4696.3247
474,3808.2935
475,4745.323
476,3637.666
477,4841.3867
478,4583.4688
479,3248.1282
480,6321.6904
481,4558.45
482,5202.42
483,3329.8506
484,5784.5625
485,5812.328
486,3236.321
487,4400.044
488,4908.033
489,7515.4663
490,5871.2925
491,4093.1765
492,4156.5874
493,3947.9268
494,3562.9458
495,3865.3262
496,4367.89
497,3707.0618
498,5758.266
499,3849.2102
500,4156.432
501,5224.0425
502,3232.774
503,4041.401
504,2842.636
505,4283.455
506,5500.109
507,5683.8745
508,4351.3066
509,6148.699
510,3711.6155
511,5831.1978
512,4231.065
513,5500.7817
514,2681.6785
515,6712.544
516,6003.41
517,4742.7754
518,3958.4954
519,4267.7725
520,5553.131
521,4326.6855
522,4062.1304
523,5442.8887
524,4781.4185
525,4427.219
526,4852.577
527,5511.7734
528,5495.76
