Итерация,Значение
0,0.3872374
1,0.42378068
2,0.43213832
3,0.44172207
4,0.4396985
5,0.43359897
6,0.40640688
7,0.43540993
8,0.4497112
9,0.42573535
10,0.43496534
11,0.42902845
12,0.44788608
13,0.42950547
14,0.4215083
15,0.4217822
16,0.43044576
17,0.42547244
18,0.41443145
19,0.41766372
20,0.44722265
21,0.3995038
22,0.42390335
23,0.43524414
24,0.4184929
25,0.4534665
26,0.4208088
27,0.43196616
28,0.43791947
29,0.41569477
30,0.41438246
31,0.41753447
32,0.4146281
33,0.40835732
34,0.42208803
35,0.4114256
36,0.4112929
37,0.42514962
38,0.4183503
39,0.41689715
40,0.4115897
41,0.4435574
42,0.41513285
43,0.38948384
44,0.43381497
45,0.41195303
46,0.4285973
47,0.4281185
48,0.41010094
49,0.40421593
50,0.37941924
51,0.41074696
52,0.4203776
53,0.42370299
54,0.42974162
55,0.40736488
56,0.40808865
57,0.40613353
58,0.42226663
59,0.39354277
60,0.4227805
61,0.38662434
62,0.36949772
63,0.41702896
64,0.3909493
65,0.41603738
66,0.41124555
67,0.40837726
68,0.4017648
69,0.416484
70,0.3950202
71,0.40545377
72,0.38607505
73,0.40486076
74,0.4321923
75,0.40618044
76,0.41164163
77,0.42238006
78,0.43022743
79,0.41354707
80,0.37897187
81,0.41343063
82,0.40131268
83,0.39953074
84,0.40023422
85,0.38837865
86,0.406359
87,0.40107018
88,0.3799818
89,0.40066206
90,0.42205125
91,0.4102334
92,0.41710427
93,0.38231307
94,0.40736896
95,0.39092115
96,0.41977158
97,0.39199796
98,0.4143732
99,0.40201446
100,0.36950806
101,0.3940587
102,0.36670113
103,0.38375837
104,0.3926859
105,0.39879337
106,0.3809864
107,0.39143708
108,0.41258925
109,0.3756797
110,0.36576653
111,0.407438
112,0.38084424
113,0.3827991
114,0.3916597
115,0.4070334
116,0.3928101
117,0.41563478
118,0.3859202
119,0.40000775
120,0.41157636
121,0.3964429
122,0.41174018
123,0.38519934
124,0.37104017
125,0.40404594
126,0.36376026
127,0.39196923
128,0.40432248
129,0.36606196
130,0.38791996
131,0.38043073
132,0.37967443
133,0.37971744
134,0.38455287
135,0.3691175
136,0.36508188
137,0.3923785
138,0.42074654
139,0.39717612
140,0.38944414
141,0.3814448
142,0.39914918
143,0.36810136
144,0.3928905
145,0.38193852
146,0.3500006
147,0.38880724
148,0.3882982
149,0.37700957
150,0.33879945
151,0.41363826
152,0.3791918
153,0.37880102
154,0.37694803
155,0.3773389
156,0.36575994
157,0.36444542
158,0.3732242
159,0.38064057
160,0.4094521
161,0.3843928
162,0.3704296
163,0.38012192
164,0.36572474
165,0.37432384
166,0.36390778
167,0.38336614
168,0.3759238
169,0.3516065
170,0.37109566
171,0.36117393
172,0.37956506
173,0.37773827
174,0.3429888
175,0.37610322
176,0.38031325
177,0.37135524
178,0.36457264
179,0.35890085
180,0.34409156
181,0.3980031
