Parameter,BlockingPercent
0,0
1,0
10,8.36
11,9.17
12,8.54
13,8.64
14,8.92
15,8.36
16,8.84
17,8.46
18,8.95
19,8.48
2,0
20,8.32
21,8.38
22,8.23
23,8.9
24,9.39
25,9.08
26,9.12
27,8.84
28,8.86
29,9.21
3,0
30,9.81
31,9.85
32,10.14
33,9.53
34,10.03
35,10.45
36,10.24
37,10.21
38,11.31
39,11.5
4,0
40,12.1
41,12.19
42,12.68
43,13.25
44,13.3
45,13.26
46,12.29
47,12.9
48,13.54
49,13.82
5,0
50,13.75
51,15.11
52,14.01
53,14.97
54,15.5
55,14.92
56,15.06
57,15.21
58,15.61
59,16.33
6,0
60,16.57
61,17.66
62,17.02
63,18.32
64,19.33
65,18.16
66,18.77
67,18.88
68,19.89
69,18.58
7,0
70,19.06
71,19.28
72,21.25
73,20.9
74,23.62
75,21.27
76,22.37
77,24.03
78,25.73
79,25.69
8,8.03
80,26.66
81,27.66
82,25.7
83,29.53
84,28.94
9,9.32
