Iteration,Value
0,4491.294
1,6111.453
2,4492.736
3,5805.296
4,5384.8096
5,4332.919
6,5414.1216
7,5518.2
8,5021.986
9,4612.545
10,4636.9165
11,4054.213
12,5691.93
13,5713.2114
14,5710.5015
15,6057.0933
16,3766.3093
17,4447.7495
18,5194.1333
19,4980.4956
20,4381.943
21,4463.9233
22,6027.831
23,5897.561
24,5243.122
25,5574.4976
26,5586.619
27,5411.3066
28,4662.0977
29,5230.644
30,5520.8643
31,5126.2935
32,6678.451
33,4751.3535
34,5497.781
35,4860.832
36,6098.176
37,4543.9697
38,5452.0244
39,6083.607
40,5347.5596
41,5266.8745
42,6169.723
43,5702.06
44,5072.154
45,5065.034
46,5352.856
47,4269.7026
48,5307.9126
49,4242.924
50,5640.264
51,6591.616
52,4948.345
53,4918.3193
54,4825
55,5324.069
56,6131.6323
57,5724.3384
58,5020.2275
59,5302.3096
60,5392.2783
61,6355.5127
62,6081.571
63,5093.5503
64,5212.7207
65,5448.0366
66,5980.633
67,5822.2227
68,5766.005
69,5268.8286
70,5829.248
71,7221.7607
72,5071.066
73,6498.3276
74,4748.513
75,6419.848
76,4970.843
77,5026.888
78,5098.97
79,6610.943
80,6142.3135
81,6153.1787
82,6585.8926
83,6150.2285
84,5042.602
85,6071.4976
86,6478.6187
87,6158.8623
88,5330.9834
89,5193.588
90,6743.5444
91,5252.952
92,7278.5435
93,5368.539
94,6821.8584
95,6497.351
96,4635.074
97,5254.014
98,5857.9053
99,6173.8296
100,6138.748
101,5651.592
102,7011.892
103,6165.775
104,6759.6753
105,5672.2197
106,6571.5327
107,6246.2344
108,6551.658
109,6199.0083
110,6363.025
111,6950.5845
112,5921.815
113,6814.239
114,6123.3804
115,6177.1045
116,7497.008
117,6016.6494
118,5710.8696
119,7079.241
120,7807.8584
121,6774.4556
122,6670.877
123,6801.4727
124,6705.3555
125,7089.0737
126,6381.4966
127,5997.409
128,7771.4814
129,6569.0464
130,6756.8657
131,6711.2266
132,6933.072
133,7224.561
134,7321.2617
135,5540.647
136,5338.742
137,6913.1826
138,6331.2017
139,6596.384
140,7466.3076
141,6977.5547
142,7791.0156
143,5839.585
144,7408.6597
145,6131.6465
146,6671.154
147,6443.3296
148,5289.2954
149,7095.7363
150,7797.873
151,6242.9
152,7866.6284
153,6892.533
154,7566.7827
155,7890.3423
156,7163.2163
157,6743.5156
158,6049.7036
159,8704.43
160,5567.2734
161,8008.006
162,7548.7544
163,9514.774
164,6775.148
165,8172.5435
166,7516.475
167,6756.5703
168,7913.881
169,8448.832
170,7709.0234
171,9379.97
172,8121.092
173,8341.392
174,9810.871
175,7409.7754
176,7720.6094
177,5700.4336
178,6693.8623
179,9180.314
180,9764.614
181,8590.378
182,8356.198
183,8466.384
184,10135.792
185,8625.635
186,7383.451
187,10390.185
188,9233.927
189,8802.669
190,6803.6777
191,10693.024
192,7787.652
193,8869.545
194,8466.965
195,9743.508
196,6239.477
197,7449.0566
198,7141.2886
199,9104.105
200,6797.2725
201,5601.9067
202,8898.124
203,7806.8438
204,7727.59
205,8637.104
206,7520.095
207,6755.629
208,8919.044
209,7421.253
210,7752.438
211,9864.048
212,8079.846
213,8826.601
214,9938.736
215,7485.931
216,7439.716
217,8885.607
218,8360.446
219,7667.5303
220,8025.1265
221,8636.872
222,7918.985
223,7905.065
224,9136.179
225,8432.955
226,8028.5396
227,9511.34
228,10883.388
229,10133.021
230,8788.682
231,8684.719
232,9956.772
233,7226.3574
234,7505.2183
235,8723.8955
236,7315.1313
237,9136.466
238,11956.871
239,9232.196
240,8369.922
241,6649.105
242,7787.476
243,8153.452
244,9140.615
245,8001.983
246,10906.327
247,7787.0576
248,8328.682
249,9025.262
250,7646.7944
251,8368.18
252,8494.493
253,9251.794
254,10470.832
255,8752.28
256,8795.258
257,8661.034
258,8846.029
259,9771.365
