State:Action,QValue
-0,0:up,0.15150833
-0,1:up,0.25449234
-0,10:up,0.58329964
-0,11:up,0.34178102
-0,12:up,1.1208546
-0,13:down,0.48574153
-0,13:up,0.3370363
-0,14:up,3.9192305
-0,15:right,26.227324
-0,16:up,0.4127928
-0,17:down,-0.38805273
-0,17:left,0.5275899
-0,17:up,-0.15194735
-0,19:up,0.22050807
-0,2:up,0.14804994
-0,20:down,-0.14245996
-0,20:right,-0.08535761
-0,20:up,0.33684486
-0,21:up,0.41961798
-0,22:down,-0.04086762
-0,22:left,-0.26731855
-0,22:right,15.154883
-0,22:up,-0.16550973
-0,26:left,3.9630682
-0,26:right,17.196758
-0,28:left,16.601858
-0,29:down,-0.3556911
-0,29:left,5.387254
-0,29:right,32.73523
-0,29:up,0.050847925
-0,3:up,0.36356556
-0,30:down,-0.09635628
-0,30:up,0.28837144
-0,31:down,0.21381445
-0,39:right,27.895472
-0,4:up,3.595886
-0,49:up,0.28861415
-0,5:right,16.324919
-0,5:up,0.35307863
-0,50:right,47.120033
-0,54:up,-0.29029384
-0,55:left,0.362243
-0,56:right,34.907246
-0,6:right,9.223466
-0,6:up,0.35666677
-0,60:right,31.030336
-0,68:right,22.353817
-0,7:up,0.34906405
-0,71:up,-0.11569108
-0,72:up,-0.3580589
-0,73:left,17.513987
-0,73:up,0.09115874
-0,74:right,18.06649
-0,74:up,0.19719458
-0,75:up,0.11285225
-0,76:left,0.23666222
-0,76:up,0.11067558
-0,77:up,0.10643212
-0,78:right,14.945292
-0,8:left,2.5506043
-0,8:right,9.797747
-0,8:up,0.10766784
-0,80:down,-0.047069196
-0,80:right,14.30525
-0,80:up,-0.0020497532
-0,81:down,0.538953
-0,81:left,-0.45366856
-0,82:down,0.3255041
-0,82:right,14.028983
-0,84:down,-0.14936784
-0,84:right,0.14817306
-0,84:up,-0.15063219
-0,88:up,2.4049816
-0,89:down,1.800369
-0,89:left,12.139365
-0,89:right,11.132944
-0,89:up,1.6866107
-0,9:down,1.0394124
-0,9:up,0.5871556
-0,90:down,2.1895337
-0,91:down,1.4946017
-0,91:left,9.430214
-0,92:right,9.807177
-1,0:left,5.688754
-1,0:up,22.206505
-1,1:right,28.078777
-1,1:up,16.576143
-1,10:down,6.242467
-1,10:right,35.450397
-1,10:up,8.915136
-1,100:down,7.238954
-1,100:right,21.674889
-1,11:down,17.700392
-1,11:left,12.691393
-1,11:right,36.744957
-1,11:up,2.9410033
-1,12:down,31.939892
-1,12:right,11.135043
-1,12:up,2.5678017
-1,13:down,16.53865
-1,13:up,0.90394026
-1,14:right,38.860123
-1,15:left,0.21203728
-1,15:right,26.470448
-1,15:up,13.205807
-1,16:down,1.0326755
-1,16:left,-0.5203578
-1,16:right,38.658176
-1,16:up,0.87769186
-1,17:up,18.544308
-1,18:down,3.006568
-1,18:left,7.490711
-1,18:right,18.994305
-1,18:up,41.840977
-1,19:down,24.516792
-1,19:left,8.783226
-1,19:right,46.430164
-1,19:up,15.872395
-1,2:left,-0.35902426
-1,2:up,27.235008
-1,20:down,31.570375
-1,20:left,5.3896
-1,20:right,14.180004
-1,20:up,-0.12535128
-1,21:right,35.480362
-1,21:up,0.11109878
-1,22:down,18.034966
-1,22:left,12.602467
-1,22:right,42.581123
-1,22:up,13.167948
-1,23:down,14.770968
-1,23:left,7.5284343
-1,23:right,35.506477
-1,23:up,0.5504379
-1,24:down,7.826607
-1,24:right,52.187714
-1,24:up,0.27046093
-1,25:up,21.547836
-1,26:right,1.2942986
-1,26:up,47.395462
-1,27:down,2.7197397
-1,27:left,-0.46735683
-1,27:right,31.357697
-1,27:up,57.640224
-1,28:right,63.86576
-1,28:up,4.4040985
-1,29:down,5.5049706
-1,29:right,41.118793
-1,29:up,23.354073
-1,3:down,7.3929677
-1,3:left,8.230246
-1,3:right,24.30752
-1,3:up,30.871233
-1,30:down,2.283607
-1,30:up,63.523964
-1,31:left,-0.37145483
-1,31:right,20.727032
-1,31:up,67.623695
-1,32:down,-0.18879198
-1,32:left,-0.5188523
-1,32:right,72.7781
-1,32:up,44.380833
-1,33:down,-0.18526612
-1,33:left,4.952345
-1,33:right,75.85218
-1,33:up,15.400133
-1,34:down,-0.036174804
-1,34:left,0.06870848
-1,34:right,60.230434
-1,34:up,2.9907677
-1,35:left,-0.021591082
-1,35:right,76.46839
-1,35:up,23.256817
-1,36:left,-0.4957844
-1,36:right,66.25311
-1,36:up,21.548542
